               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.024822,           0.0068123,                   0,             0.89385,             0.93805,              0.9491,             0.51774,            0.032663,           0.0049552,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024359,           0.0066389,                   0,              0.8969,             0.95575,             0.93901,             0.50532,            0.031415,           0.0048718,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024782,           0.0068789,                   0,             0.88221,             0.93805,             0.91213,             0.49422,            0.031462,           0.0047936,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024167,           0.0070483,                   0,              0.9171,              0.9115,             0.94111,             0.51252,            0.031728,           0.0047661,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024261,           0.0065911,                   0,             0.87559,             0.93805,             0.90717,             0.50102,            0.032711,           0.0048167,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024787,           0.0063731,                   0,             0.91118,             0.93805,             0.90816,             0.50224,            0.032208,           0.0046625,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024367,            0.006628,                   0,             0.92075,             0.92035,             0.94623,              0.5229,            0.032305,           0.0047049,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023617,           0.0067669,                   0,             0.90551,             0.88496,             0.91911,             0.52843,            0.032198,           0.0047174,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024229,           0.0065016,                   0,             0.91865,             0.89941,             0.93703,             0.51069,            0.032481,           0.0046943,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024133,           0.0065135,                   0,             0.91495,             0.90265,             0.93539,             0.52727,            0.032547,           0.0046868,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023203,           0.0066052,                   0,             0.91986,             0.91422,             0.94186,             0.52219,            0.033182,           0.0047832,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022514,           0.0066401,                   0,             0.90675,             0.94656,             0.92969,             0.51011,             0.03317,           0.0048261,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023011,           0.0064346,                   0,             0.90678,              0.9469,             0.92158,             0.49429,            0.033679,           0.0049231,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022814,           0.0066009,                   0,             0.90234,              0.9469,             0.91477,             0.49179,            0.033608,             0.00488,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021963,           0.0061416,                   0,              0.9067,             0.94596,             0.92297,             0.49514,            0.032856,           0.0049448,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022466,           0.0065873,                   0,             0.90422,              0.9115,             0.89983,             0.49874,            0.031859,           0.0049197,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021989,           0.0062147,                   0,             0.89945,             0.92035,             0.91224,             0.49778,            0.031557,           0.0049622,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021898,           0.0062323,                   0,             0.92027,             0.91928,             0.93268,             0.51742,            0.031399,           0.0048368,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021758,           0.0062583,                   0,             0.91754,              0.9115,             0.94954,             0.54183,            0.031117,           0.0047656,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02127,           0.0060107,                   0,             0.91488,              0.9115,             0.94656,             0.53129,            0.031125,           0.0047483,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021907,           0.0066924,                   0,             0.89053,              0.9469,             0.93681,              0.5192,            0.031667,            0.004801,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020154,           0.0063485,                   0,             0.88307,             0.93566,             0.90913,             0.51316,            0.031919,           0.0048102,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020772,           0.0060584,                   0,             0.89218,             0.95195,             0.91853,             0.52038,            0.031531,           0.0048037,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020702,           0.0060299,                   0,             0.87634,              0.9469,             0.92763,             0.52165,            0.031796,            0.004725,                   0,            0.002179,            0.002179,            0.002179
